DateTime,Entries,UniqueIPs
1557098934,763,763
1557100248,758,758
1557101698,761,761
1557103417,762,762
1557104199,769,769
1557105289,768,768
1557106185,777,777
1557108901,783,783
1557110570,770,770
1557111959,772,772
1557113329,774,774
1557114181,773,773
1557115855,781,781
1557117105,778,778
1557117798,783,783
1557119160,784,784
1557120586,786,786
1557121370,793,793
1557123062,795,795
1557124470,802,802
1557125728,803,803
1557126899,805,805
1557127739,816,816
1557128568,834,834
1557130250,836,836
1557131328,838,838
1557132167,804,804
1557133019,806,806
1557134094,788,788
1557134926,794,794
1557136599,779,779
1557137753,783,783
1557139370,796,796
1557140752,815,815
1557141940,827,827
1557142971,845,845
1557144574,850,850
1557145673,851,851
1557147952,859,859
1557149326,859,859
1557150643,867,867
1557151847,872,872
1557153089,884,884
1557154241,904,904
1557155453,908,908
1557156538,917,917
1557157369,924,924
1557159298,925,925
1557160133,935,935
1557160965,941,941
1557162892,949,949
1557163724,953,953
1557165043,951,951
1557166498,945,945
1557168195,933,933
1557168998,939,939
1557170157,920,920
1557171768,917,917
1557173262,926,926
1557173679,931,931
1557174540,934,934
1557175672,954,954
1557176874,956,956
1557178252,960,960
1557179439,972,972
1557180901,979,979
1557182156,983,983
1557183927,983,983
1557192781,960,960
1557200806,1010,1010
1557204924,1020,1020
1557206065,1015,1015
1557208595,1015,1015
1557211212,1024,1024
1557213095,1047,1047
1557214727,1070,1070
1557217755,1096,1096
1557218972,1112,1112
1557220306,1120,1120
1557222835,1140,1140
1557225059,1162,1162
1557226267,1167,1167
1557228431,1195,1195
1557229839,1211,1211
1557231280,1222,1222
1557233353,1249,1249
1557235132,1272,1272
1557236381,1284,1284
1557238330,1315,1315
1557240294,1341,1341
1557242002,1343,1343
1557243896,1347,1347
1557247292,1376,1376
1557249085,1370,1370
1557250216,1379,1379
1557252682,1394,1394
1557256270,1417,1417
1557257853,1430,1430
1557259760,1431,1431
1557262363,1429,1429
1557263781,1435,1435
1557265447,1430,1430
1557267364,1438,1438
1557269484,1438,1438
1557272671,1437,1437
1557274290,1439,1439
1557275901,1440,1440
1557277465,1438,1438
1557280066,1440,1440
1557283608,1440,1440
1557286571,1461,1461
1557289690,1471,1471
1557291017,1482,1482
1557292350,1475,1475
1557293554,1484,1484
1557295659,1477,1477
1557296986,1487,1487
1557298258,1486,1486
1557301568,1493,1493
1557303289,1499,1499
1557304656,1508,1508
1557307160,1516,1516
1557309455,1523,1523
1557311245,1512,1512
1557312463,1480,1480
1557315733,1487,1487
1557317683,1488,1488
1557319286,1488,1488
1557321549,1482,1482
1557323082,1452,1452
1557325016,1464,1464
1557326752,1463,1463
1557328335,1461,1461
1557330619,1479,1479
1557332198,1479,1479
1557334614,1457,1457
1557336798,1467,1467
1557338149,1464,1464
1557341833,1435,1435
1557344122,1448,1448
1557345524,1433,1433
1557346657,1430,1430
1557348274,1414,1414
1557350012,1407,1407
1557357478,1398,1398
1557366293,1426,1426
1557370765,1407,1407
1557371998,1379,1379
1557373413,1369,1369
1557375073,1378,1378
1557376249,1389,1389
1557379015,1398,1398
1557380281,1407,1407
1557382482,1421,1421
1557384656,1425,1425
1557385891,1429,1429
1557389076,1378,1378
1557390286,1385,1385
1557391925,1392,1392
1557393902,1381,1381
1557395364,1339,1339
1557397638,1332,1332
1557399505,1304,1304
1557402301,1265,1265
1557403788,1270,1270
1557405842,1218,1218
1557407463,1232,1232
1557409564,1239,1239
1557411418,1210,1210
1557413482,1197,1197
1557415175,1155,1155
1557416282,1167,1167
1557417586,1178,1178
1557419064,1172,1172
1557420285,1103,1103
1557421833,1115,1115
1557425808,1063,1063
1557428004,1064,1064
1557429571,1062,1062
1557432099,1068,1068
1557435878,1083,1083
1557437863,1098,1098
1557439338,1107,1107
1557442369,1101,1101
1557444121,1101,1101
1557447472,1094,1094
1557449091,1088,1088
1557451258,1098,1098
1557452624,1102,1102
1557454288,1086,1086
1557455818,1099,1099
1557460425,1090,1090
1557461719,1083,1083
1557463120,1088,1088
1557464379,1095,1095
1557465959,1085,1085
1557469003,1064,1064
1557470805,1066,1066
1557472166,1074,1074
1557476237,1070,1070
1557477618,1074,1074
1557478794,1083,1083
1557480088,1080,1080
1557481432,1077,1077
1557484174,1082,1082
1557485551,1076,1076
1557487737,1085,1085
1557490677,1091,1091
1557492335,1093,1093
1557494202,1093,1093
1557497268,1079,1079
1557498565,1088,1088
1557499949,1088,1088
1557501864,1087,1087
1557503281,1094,1094
1557506061,1109,1109
1557509819,1111,1111
1557511856,1108,1108
1557513410,1115,1115
1557515134,1116,1116
1557516725,1127,1127
1557519923,1129,1129
1557521527,1133,1133
1557523346,1141,1141
1557525131,1140,1140
1557526495,1151,1151
1557530840,1179,1179
1557533593,1168,1168
1557535602,1167,1167
1557537281,1169,1169
1557540846,1180,1180
1557542020,1181,1181
1557545225,1177,1177
1557546871,1188,1188
1557548260,1188,1188
1557551278,1188,1188
1557556460,1197,1197
1557557564,1177,1177
1557562863,1217,1217
1557565671,1248,1248
1557568488,1249,1249
1557570193,1245,1245
1557572369,1243,1243
1557574079,1251,1251
1557576546,1258,1258
1557582296,1297,1297
1557586021,1316,1316
1557587860,1301,1301
1557589430,1297,1297
1557591279,1301,1301
1557593141,1303,1303
1557597746,1306,1306
1557602224,1309,1309
1557605769,1275,1275
1557607676,1260,1260
1557609796,1263,1263
1557611710,1273,1273
1557614779,1257,1257
1557616295,1250,1250
1557626337,1272,1272
1557628641,1271,1271
1557630427,1261,1261
1557632270,1269,1269
1557636038,1278,1278
1557640629,1285,1285
1557647856,1296,1296
1557649349,1310,1310
1557651717,1313,1313
1557652896,1305,1305
1557654570,1308,1308
1557655918,1296,1296
1557657404,1304,1304
1557659182,1295,1295
1557660461,1300,1300
1557662374,1301,1301
1557664676,1297,1297
1557666859,1283,1283
1557668712,1274,1274
1557671802,1286,1286
1557673839,1279,1279
1557676011,1290,1290
1557677909,1283,1283
1557679125,1283,1283
1557681623,1266,1266
1557687944,1264,1264
1557689456,1267,1267
1557690703,1261,1261
1557691801,1253,1253
1557698699,1240,1240
1557701120,1245,1245
1557707391,1237,1237
1557711060,1233,1233
1557714979,1239,1239
1557716644,1228,1228
1557718626,1231,1231
1557720312,1225,1225
1557722229,1231,1231
1557727334,1213,1213
1557728773,1228,1228
1557730786,1215,1215
1557732080,1215,1215
1557735687,1221,1221
1557738658,1197,1197
1557740228,1200,1200
1557742322,1187,1187
1557743872,1187,1187
1557746127,1177,1177
1557747390,1181,1181
1557748527,1181,1181
1557750251,1165,1165
1557751703,1152,1152
1557753238,1145,1145
1557754651,1150,1150
1557755858,1133,1133
1557757633,1137,1137
1557761602,1124,1124
1557762972,1110,1110
1557765125,1104,1104
1557766630,1100,1100
1557768064,1097,1097
1557772726,1109,1109
1557774076,1103,1103
1557776829,1082,1082
1557779005,1078,1078
1557782575,1078,1078
1557785210,1077,1077
1557787529,1046,1046
1557790345,1041,1041
1557792594,1029,1029
1557794929,1021,1021
1557797089,1015,1015
1557802034,967,967
1557803775,972,972
1557805105,972,972
1557807022,922,922
1557808620,924,924
1557809946,930,930
1557813567,891,891
1557814759,889,889
1557816139,872,872
1557817495,868,868
1557820333,875,875
1557821449,869,869
1557823032,864,864
1557824873,847,847
1557826359,850,850
1557827791,853,853
1557829115,843,843
1557830252,845,845
1557832249,831,831
1557833918,836,836
1557836129,826,826
1557837547,826,826
1557840491,806,806
1557841846,796,796
1557844651,800,800
1557846210,787,787
1557847621,786,786
1557849154,790,790
1557850605,779,779
1557851914,775,775
1557856459,736,736
1557858005,731,731
1557860915,738,738
1557863200,699,699
1557867832,688,688
1557869010,693,693
1557870239,700,700
1557873861,688,688
1557875555,693,693
1557879130,666,666
1557884647,620,620
1557886452,619,619
1557888705,626,626
1557892570,634,634
1557894012,641,641
1557895717,646,646
1557897462,649,649
1557899077,635,635
1557901414,639,639
1557904513,644,644
1557905959,646,646
1557907510,648,648
1557909788,653,653
1557911216,646,646
1557913522,646,646
