DateTime,Entries,UniqueIPs
1557314691,1578,1578
1557316616,1562,1562
1557318519,1552,1552
1557320536,1568,1568
1557322341,1615,1615
1557324320,1644,1644
1557326178,1651,1651
1557328227,1656,1656
1557330290,1651,1651
1557332175,1648,1648
1557334104,1661,1661
1557336030,1663,1663
1557339107,1649,1649
1557341063,1637,1637
1557343017,1626,1626
1557344933,1622,1622
1557346834,1589,1589
1557348785,1582,1582
1557350688,1569,1569
1557352581,1561,1561
1557355555,1552,1552
1557357395,1547,1547
1557359264,1519,1519
1557361324,1505,1505
1557363144,1494,1494
1557365078,1499,1499
1557367028,1483,1483
1557369175,1461,1461
1557371355,1434,1434
1557373262,1429,1429
1557375181,1422,1422
1557377093,1415,1415
1557379006,1417,1417
1557381159,1413,1413
1557383064,1409,1409
1557384981,1402,1402
1557386931,1401,1401
1557389003,1392,1392
1557390980,1291,1291
1557392922,1246,1246
1557394820,1238,1238
1557397003,1237,1237
1557398930,1231,1231
1557400847,1215,1215
1557402768,1222,1222
1557404665,1231,1231
1557406590,1239,1239
1557408701,1191,1191
1557410723,1169,1169
1557412590,1168,1168
1557414528,1166,1166
1557416440,1184,1184
1557418593,1191,1191
1557420502,1177,1177
1557422461,1173,1173
1557424337,1182,1182
1557426503,1201,1201
1557428537,1217,1217
1557430372,1237,1237
1557432309,1249,1249
1557434210,1262,1262
1557436139,1271,1271
1557438023,1294,1294
1557439945,1313,1313
1557442391,1320,1320
1557444286,1323,1323
1557446183,1329,1329
1557448120,1337,1337
1557450077,1348,1348
1557451946,2811,2811
1557454130,4377,4377
1557456025,5608,5608
1557458234,8693,8693
1557460147,9562,9562
1557462032,9560,9560
1557463949,9554,9554
1557465862,9553,9553
1557467777,9557,9557
1557469725,9579,9579
1557471748,9595,9595
1557473571,9598,9598
1557475568,9619,9619
1557477386,9631,9631
1557479329,9641,9641
1557481244,9645,9645
1557483154,9642,9642
1557485066,9650,9650
1557487241,9663,9663
1557489166,9798,9798
1557491084,9822,9822
1557493018,9830,9830
1557494915,9844,9844
1557496871,9849,9849
1557498749,9844,9844
1557500731,9843,9843
1557502857,9859,9859
1557504738,9862,9862
1557506651,9860,9860
1557508602,9877,9877
1557510529,9879,9879
1557512454,9871,9871
1557514336,9872,9872
1557516259,9865,9865
1557518174,9866,9866
1557520090,9863,9863
1557522046,9872,9872
1557523967,9860,9860
1557525879,9852,9852
1557528372,9843,9843
1557530199,9833,9833
1557532110,9830,9830
1557534039,9816,9816
1557535947,9801,9801
1557537900,8868,8868
1557539790,7067,7067
1557541704,6146,6146
1557544823,2114,2114
1557546731,1586,1586
1557548652,1580,1580
1557550575,1576,1576
1557552488,1573,1573
1557554449,1570,1570
1557556343,1552,1552
1557558516,1544,1544
1557560417,1536,1536
1557562606,1538,1538
1557564494,1521,1521
1557566436,1514,1514
1557568974,1505,1505
1557570780,1507,1507
1557572712,1498,1498
1557574595,1495,1495
1557576505,1356,1356
1557578426,1337,1337
1557580353,1350,1350
1557582262,1340,1340
1557584193,1330,1330
1557586104,1331,1331
1557588022,1310,1310
1557590072,1295,1295
1557592095,1280,1280
1557594361,1296,1296
1557596210,1287,1287
1557598110,1293,1293
1557600271,1288,1288
1557602207,1303,1303
1557604141,1301,1301
1557606040,1289,1289
1557607946,1275,1275
1557609884,1263,1263
1557611785,1253,1253
1557613722,1235,1235
1557615776,1221,1221
1557617781,1224,1224
1557619697,1224,1224
1557621621,1230,1230
1557623793,1220,1220
1557625698,1216,1216
1557627616,1209,1209
1557629544,1214,1214
1557631473,1229,1229
1557633399,1262,1262
1557635300,1288,1288
1557637256,1309,1309
1557639139,1327,1327
1557641071,1345,1345
1557643217,1377,1377
1557645135,1384,1384
1557647082,1410,1410
1557648975,1407,1407
1557651163,1408,1408
1557653056,1404,1404
1557655006,1406,1406
1557656916,1407,1407
1557658916,1407,1407
1557660739,1410,1410
1557662710,1409,1409
1557664586,1412,1412
1557666501,1396,1396
1557668439,1392,1392
1557670348,1389,1389
1557672256,1381,1381
1557674441,1375,1375
1557676360,1379,1379
1557678288,1386,1386
1557680176,1372,1372
1557682106,1373,1373
1557684998,1370,1370
1557686898,1371,1371
1557688759,1348,1348
1557690732,1349,1349
1557692679,1352,1352
1557694582,1361,1361
1557696503,1365,1365
1557698667,1365,1365
1557700593,1376,1376
1557702958,1382,1382
1557704911,1386,1386
1557706860,1382,1382
1557708759,1384,1384
1557710670,1378,1378
1557712592,1380,1380
1557714756,1380,1380
1557716772,1378,1378
1557718598,1370,1370
1557720508,1342,1342
1557722445,1320,1320
1557724374,1298,1298
1557726265,1284,1284
1557728201,1261,1261
1557730128,1222,1222
1557732043,1034,1034
1557733946,891,891
1557735875,1145,1145
1557737778,1152,1152
1557739732,1152,1152
1557741682,1157,1157
1557743573,1155,1155
1557745524,1146,1146
1557747389,1147,1147
1557749311,1143,1143
1557751222,1132,1132
1557753162,1132,1132
1557755066,1134,1134
1557757010,1137,1137
1557758863,1146,1146
1557760843,1149,1149
1557762847,1148,1148
1557764676,1145,1145
1557766603,1146,1146
1557768524,1151,1151
1557770575,1152,1152
1557772597,1145,1145
1557774530,1148,1148
1557776415,1152,1152
1557778592,1148,1148
1557780497,1149,1149
1557782451,1144,1144
1557784334,1150,1150
1557786267,1149,1149
1557788201,1136,1136
1557790092,1134,1134
1557792058,1131,1131
1557793937,1132,1132
1557796127,1126,1126
1557798056,1136,1136
1557799954,1139,1139
1557801857,1131,1131
1557804061,1127,1127
1557805937,1112,1112
1557807862,1105,1105
1557809787,1095,1095
1557811731,1082,1082
1557813700,1066,1066
1557815557,1057,1057
1557817553,1117,1117
1557819640,1101,1101
1557821540,1092,1092
1557823748,1085,1085
1557825675,1089,1089
1557827557,1098,1098
1557829460,1098,1098
1557831418,1102,1102
1557833299,1105,1105
1557835258,1107,1107
1557837161,1111,1111
1557839080,1113,1113
1557840991,1107,1107
1557842925,1111,1111
1557845083,1106,1106
1557847005,1109,1109
1557848934,1115,1115
1557850841,1105,1105
1557852796,1102,1102
1557854658,1097,1097
1557856616,1089,1089
1557858506,1091,1091
1557860528,1082,1082
1557862378,1079,1079
1557864340,1082,1082
1557866231,1079,1079
1557868141,1089,1089
1557870034,1082,1082
1557871964,1079,1079
1557873894,1096,1096
1557875826,1100,1100
1557877738,1120,1120
1557879650,1143,1143
1557881595,1165,1165
1557883470,1173,1173
1557885382,1179,1179
1557887312,1183,1183
1557889381,1191,1191
1557891394,1193,1193
1557893575,1193,1193
1557895495,1198,1198
1557897404,1202,1202
1557899306,1212,1212
1557901244,1221,1221
1557903159,1258,1258
1557905088,1246,1246
1557906976,1209,1209
1557908893,1214,1214
1557910838,1218,1218
1557912740,1221,1221
1557914729,1222,1222
