DateTime,AddedIPs,RemovedIPs
1557132999,20,1
1557134079,52,41
1557134905,44,0
1557136582,43,80
1557137729,23,35
1557139355,61,32
1557140731,57,70
1557141924,38,2
1557142955,27,51
1557144530,57,47
1557145647,75,1
1557147936,73,129
1557149304,39,2
1557150611,43,54
1557151832,47,52
1557153055,30,77
1557154224,55,15
1557155438,60,54
1557156517,31,3
1557157352,36,103
1557159284,138,43
1557160112,35,5
1557160949,36,62
1557162877,76,52
1557163703,29,2
1557165000,23,81
1557166479,63,44
1557168168,60,36
1557168982,31,2
1557170135,25,42
1557171751,79,96
1557173242,72,47
1557173663,14,3
1557174519,22,2
1557175634,36,52
1557176859,69,70
1557178227,38,90
1557179424,31,2
1557180883,23,53
1557182138,36,62
1557183580,59,51
1557192297,94,215
1557200676,360,354
1557204822,142,148
1557205993,40,38
1557208451,59,86
1557211112,111,6
1557213009,79,51
1557214592,50,41
1557217637,105,138
1557218895,49,4
1557220225,56,19
1557222774,75,82
1557224895,92,84
1557226194,45,147
1557228353,55,1
1557229704,58,12
1557231195,66,143
1557233282,62,66
1557235065,65,1
1557236274,53,2
1557238230,46,53
1557240231,91,81
1557241855,48,76
1557243831,45,213
1557247231,196,68
1557248977,65,77
1557250155,26,2
1557252600,105,113
1557256201,154,80
1557257790,61,9
1557259701,64,84
1557262296,118,169
1557263715,75,3
1557265387,79,134
1557267293,52,2
1557269425,42,127
1557272607,113,96
1557274225,36,19
1557275836,53,3
1557277191,43,36
1557279999,66,58
1557283462,119,141
1557286378,96,9
1557287555,69,19
1557289622,106,91
1557290888,52,41
1557292160,31,82
1557293467,60,2
1557295514,115,107
1557296883,43,2
1557298175,38,60
1557301490,108,140
1557303129,39,51
1557304598,55,8
1557307086,120,116
1557309310,71,36
1557311181,126,44
1557312399,237,158
1557315641,278,1
1557317612,84,84
1557319215,39,93
1557321442,98,62
1557322747,63,22
1557324941,77,151
1557326678,42,84
1557328263,59,52
1557330551,114,0
1557332088,78,75
1557334550,77,192
1557336665,63,3
1557338082,75,27
1557341776,139,252
1557343966,84,65
1557345429,49,76
1557346586,49,61
1557348216,71,68
1557349880,84,28
1557357403,341,157
1557366226,375,143
1557370696,118,204
1557371885,23,129
1557373329,31,77
1557374853,56,51
1557376148,34,1
1557378935,89,94
1557380214,46,1
1557382409,93,36
1557384368,40,62
1557385730,47,44
1557388782,117,130
1557390081,80,101
1557391856,110,2
1557393839,71,43
1557395303,38,155
1557397552,84,27
1557399393,141,66
1557402218,119,116
1557403716,52,1
1557405497,48,2
1557407357,70,114
1557409427,94,18
1557411336,56,44
1557413406,54,81
1557415063,33,108
1557416210,23,0
1557417525,48,2
1557419003,52,90
1557420222,46,166
1557421762,56,5
1557425683,97,129
1557427943,119,30
1557429512,54,91
1557431997,73,162
1557435588,102,176
1557437800,76,46
1557439158,39,1
1557442299,100,161
1557444061,47,28
1557447410,117,101
1557449029,36,53
1557451186,67,35
1557452540,41,1
1557454192,51,147
1557455588,46,2
1557460361,160,241
1557461645,81,37
1557462961,47,4
1557464310,35,1
1557465877,70,174
1557468926,177,103
1557470697,60,78
1557472042,51,1
1557476144,134,175
1557477529,91,1
1557478724,62,1
1557479990,33,37
1557481303,61,29
1557484067,103,155
1557485474,55,528
1557487675,161,6
1557490614,106,167
1557492264,80,119
1557494047,82,47
1557497184,174,108
1557498504,59,0
1557499862,85,107
1557501746,71,57
1557503217,76,2
1557505967,123,87
1557509758,163,111
1557511741,54,196
1557513211,46,8
1557515035,31,109
1557516568,39,8
1557519813,94,177
1557521452,109,69
1557523243,80,45
1557525076,64,94
1557526405,55,1
1557530774,509,109
1557533535,72,196
1557535544,65,96
1557537223,91,39
1557540630,145,14
1557541907,123,24
1557545111,163,125
1557546810,72,52
1557548195,34,52
1557551223,74,88
1557556358,165,114
1557557503,23,103
1557562734,210,255
1557565612,64,22
1557568342,91,75
1557570137,77,214
1557572315,68,101
1557574020,62,39
1557576465,74,52
1557582168,197,155
1557585964,149,99
1557587791,81,120
1557589373,39,96
1557591217,49,46
1557593078,63,57
1557597634,166,147
1557602163,135,95
1557605705,150,194
1557607611,78,88
1557609655,50,37
1557611642,84,3
1557614709,91,82
1557616224,50,149
1557626282,281,218
1557628580,100,51
1557630291,43,174
1557632211,37,5
1557635978,138,103
1557640571,152,322
1557647801,247,286
1557649284,32,5
1557651619,91,65
1557652838,51,31
1557654518,44,76
1557655860,27,188
1557657340,33,2
1557659074,93,202
1557660409,53,3
1557662311,57,4
1557664620,91,104
1557666793,57,255
1557668652,57,101
1557671716,113,85
1557673774,114,84
1557675899,73,23
1557677851,45,110
1557679062,56,26
1557681554,94,199
1557687788,164,88
1557689377,42,46
1557690554,16,34
1557691744,33,215
1557698604,202,253
1557701050,62,1
1557707334,202,567
1557710974,132,215
1557714906,124,264
1557716360,56,95
1557718561,88,54
1557720045,46,44
1557722159,105,34
1557727170,357,188
1557728707,330,3
1557730722,445,133
1557731991,244,62
1557735622,951,41
1557738583,704,183
1557740167,498,6
1557742233,532,129
1557743784,349,2
1557746053,676,89
1557747319,258,1
1557748462,359,29
1557750191,455,47
1557751641,380,150
1557753109,220,42
1557754592,563,4
1557755793,372,82
1557757571,479,5
1557761496,1199,130
1557762897,247,105
1557764977,801,37
1557766571,445,121
1557768000,409,36
1557772668,1207,43
1557773985,304,61
1557776755,588,230
1557778947,471,28
1557782513,70,95
1557785139,55,38
1557787421,48,161
1557790236,61,53
1557792500,81,107
1557794867,77,35
1557797028,57,62
1557801958,138,167
1557803695,40,4
1557805047,44,3
1557806958,71,156
1557808536,38,1
1557809887,39,2
1557813507,129,202
1557814657,40,33
1557815872,62,16
1557817199,61,70
1557820119,121,52
1557821253,39,16
1557822947,52,24
1557824694,77,175
1557826232,36,1
1557827654,44,0
1557828794,47,136
1557830194,51,2
1557832185,88,106
1557833860,68,4
1557836065,98,128
1557837483,59,2
1557840404,132,112
1557841779,41,80
1557844571,114,62
1557845989,59,82
1557847528,34,3
1557849044,63,18
1557850535,83,36
1557851791,54,58
1557856339,127,223
1557857946,112,32
1557860860,201,15
1557863131,52,123
1557867569,187,100
1557868955,35,51
1557870139,33,5
1557873803,103,166
1557875463,60,5
1557879015,101,172
1557884586,153,175
1557886395,82,38
1557888565,44,99
1557892507,160,130
1557893950,29,2
1557895657,36,10
1557897360,34,80
1557898985,52,360
1557901344,96,142
1557904442,85,247
1557905861,46,1
1557907375,68,160
1557909695,71,333
1557911054,27,687
1557913444,82,358
